No,ICAO,WMO,IATA,Stasiun,Lintang,Bujur,Ketinggian
1,WAAA,97180,UPG,Sultan Hasanuddin - Makassar,"S 05°03'71""","E 119°33'65""",11.76
2,WABB,97560,BIK,Frans Kaisiepo - Biak,"S 01°11'21""","E 136°06'21""",12
3,WABI,97682,NBX,Douw Aturure - Nabire,"S 03°22'29""","E 135°29'64""",12.18
4,WABO,97570,ZRI,Stevanus Rumbewas - Serui,"S 01°49'.8""","E 136°04'00""",6.4
5,WADB,97270,BMU,Sultan Muhammad Salahuddin - Bima,"S 08°32'30""","E 118°41'31""",2.67
6,WADD,97230,DPS,I Gusti Ngurah Rai - Denpasar,"S 08°44'46""","E 115°09'57""",5
7,WADL,97240,LOP,Bandara Internasional Lombok - Praya,"S 08°45'29""","E 116°16'35""",13
8,WADS,97260,SWQ,Sultan Muhammad Kaharuddin - Sumbawa Besar,"S 08°29'18""","E 117°24'43""",9
9,WADY,,BWX,Banyuwangi,"S 08°18'36""","E 114°20'26""",25.66
10,WAEE,97430,TTE,Sultan Babullah - Ternate,"N 00°49'58""","E 127°22'47""",15
11,WAEG,97406,GLX,Gamar Malamo - Galela,"N 01°50'18""","E 127°47'13""",55
12,WAEK,,KAZ,Kuabang Kao,"N 01°11'79""","E 127°53'58""",4
13,WAEL,97460,LAH,Oesman Sadik - Labuha,"S 00°38'41""","E 127°29'52""",40.4
14,WAES,97600,SQN,Emalamo - Sanana,"S 02°05'53""","E 125°57'57""",7
15,WAEW,97404,OTI,Pitu - Morotai,"N 02°03'00""","E 128°19'00""",26
16,WAFF,97072,PLW,Mutiara SIS Al-Jufri - Palu,"S 00°55'03""","E 119°54'25""",86
17,WAFJ,,MJU,Tampa Padang - Mamuju,"S 02°35'16""","E 119°01'42""",6
18,WAFL,97028,TLI,Sultan Bantilan - Toli Toli,"N 01°07'24""","E 120°47'34""",6
19,WAFM,97126,MXB,Andi Jemma - Masamba,"S 02°33'29""","E 120°19'26""",39
20,WAFP,97096,PSJ,Kasiguncu - Poso,"S 01°25'08""","E 120°39'28""",9
21,WAFT,97124,TTR,Pongtiku - Tana Toraja,"S 03°02'33""","E 119°49'11""",821
22,WAFW,97086,LUW,Syukuran Aminuddin Amir - Luwuk,"S 01°02'26""","E 122°46'15""",17
23,WAFY,,UDL,Pogogul - Buol,"N 01°06'16""","E 121°24'54""",74.63
24,WAGB,96595,MTW,Haji Muhammad Sidik - Muara Teweh,"S 01°01'16""","E 114°55'35""",44
25,WAGG,96655,PKY,Tjilik Riwut - Palangkaraya,"S 02°13'36""","E 113°56'38""",13
26,WAGI,96645,PKN,Iskandar - Pangkalan Bun,"S 02°42'15""","E 111°40'08""",26
27,WAGK,,,Beringin - Muara Teweh,"S 00°56'25""","E 114°53'38""",39
28,WAGM,96653,BTK,Sanggu - Buntok,"S 01°40'10""","E 114°53'56""",8
29,WAGS,96651,SMQ,Haji Asan - Sampit,"S 02°30'04""","E 112°58'37""",11
30,WAHH,96853,JOG,Adi Sutjipto - Yogyakarta,"S 07°47'17""","E 110°25'54""",350
31,WAHI,,,Yogyakarta International Airport - Kulonprogo,"S 07°54'62""","E 110°03'65""",
32,WAHL,96805,CXP,Tunggul Wulung - Cilacap,"S 07°38'54""","E 109°02'78""",19.61
33,WAHQ,96845,SOC,Adi Soemarmo - Surakarta,"S 07°30'49""","E 110°45'02""",106
34,WAHS,96839,SRG,Ahmad Yani - Semarang,"S 06°58'15""","E 110°22'26""",10
35,WAJI,97580,ZRM,Mararena / Orai - Sarmi,"S 01°50'59""","E 138°45'00""",3
36,WAJJ,97690,DJJ,Sentani - Jayapura,"S 02°34'14""","E 140°30'46""",58
37,WAKK,97980,MKQ,Mopah - Merauke,"S 08°31'03""","E 140°25'01""",3
38,WAKT,97876,TMH,Tanah Merah,"S 06°05'48""","E 140°18'14""",24
39,WALL,96633,BPN,Sultan Aji Muhammad Sulaiman - Sepinggan,"S 01°16'01""","E 116°53'38""",4
40,WALS,96607,SRI,Aji Pangeran Tumenggung Pranoto - Samarinda,"S 00°29'04""","E 117°09'25""",3
41,WAMG,97048,GTO,Djalaluddin - Gorontalo,"N 00°38'13""","E 122°50'56""",33
42,WAMH,97008,NAH,Naha - Tahuna,"N 03°40'58""","E 125°31'40""",5
43,WAMM,97014,MDC,Sam Ratulangi - Manado,"N 01°32'36""","E 124°55'19""",80
44,WAOK,96695,KBU,Gusti Sjamsir Alam - Kota Baru,"S 03°17'45""","E 116°09'50""",2
45,WAOO,96685,BDJ,Syamsudin Noor - Banjarmasin,"S 03°26'22""","E 114°45'14""",20
46,WAPA,97722,AHI,Amahai,"S 03°20'49""","E 128°55'33""",7
47,WAPC,97790,NDA,Bandaneira - Banda,"S 04°31'18""","E 129°54'14""",19.9
48,WAPF,,LUV,Karel Sadsuitubun - Tual,"S 05°45'37""","E 132°45'34""",24.33
49,WAPI,97900,SXK,Olilit - Saumlaki,"S 07°59'18""","E 131°18'14""",57
50,WAPL,97810,LUV,Dumatubun - Langgur,"S 05°39'41""","E 132°43'53""",133
51,WAPP,97724,AMQ,Pattimura - Ambon,"S 03°42'24""","E 128°05'20""",10
52,WAPR,97700,NAM,Namniwel - Namlea,"S 03°14'09""","E 127°05'59""",110
53,WAPS,97900,SXK,Mathilda Batlayeri - Saumlaki,"S 07°59'18""","E 131°18'16""",125
54,WAQA,96503,NNX,Nunukan,"N 04°08'12""","E 117°39'54""",17
55,WAQD,96525,TJS,Tanjung Harapan - Tanjung Selor,"N 02°50'14""","E 117°22'26""",6
56,WAQJ,96505,LBW,Yuvai Semaring - Long Bawang,"N 03°52'59""","E 115°42'00""",762
57,WAQL,,LPU,Long Apung,"N 01°42'16""","E 114°58'13""",732
58,WAQM,,,Bandar Udara Robert Atty Bessing,"N 03°34'08""","E 116°37'92""",8
